cluster,AGRICULTURAL SCIENCES,BIOLOGY & BIOCHEMISTRY,CHEMISTRY,CLINICAL MEDICINE,COMPUTER SCIENCE,ECONOMICS & BUSINESS,ENGINEERING,ENVIRONMENT ECOLOGY,GEOSCIENCES,IMMUNOLOGY,MATERIALS SCIENCE,MATHEMATICS,MICROBIOLOGY,MOLECULAR BIOLOGY & GENETICS,MULTIDISCIPLINARY,NEUROSCIENCE & BEHAVIOR,PHARMACOLOGY & TOXICOLOGY,PHYSICS,PLANT & ANIMAL SCIENCE,PSYCHIATRY PSYCHOLOGY,"SOCIAL SCIENCES, GENERAL",SPACE SCIENCE
0,0.9657686349446003,0.9693414204362873,0.9414841709727639,0.7014771353404234,0.9860584918415828,0.9932057671092176,0.9052016704479369,0.9447650753653309,0.9748465809670737,0.9766106109862726,0.9608273538648368,0.9970212437787651,0.9927868879077401,0.979881391269446,0.9996658632916503,0.9750241280537624,0.9723530579918408,0.9809912104204173,0.9430826276229418,0.9808024135472269,0.9317285949081934,0.9965758880640952
1,0.27410628019323674,0.03704153182308522,0.08423156801661474,0.025024269049146883,0.24954885279711267,0.30330053300533005,0.15093157789746658,0.10140973903685767,0.23287904599659284,0.09226765095589627,0.15207937513194006,0.3484771573604061,0.08588251593239125,0.06374619482496194,0.2827906976744186,0.07143836203203975,0.10769292347102145,0.20951263134361725,0.1590559261159569,0.1236474694589878,0.04820974820974821,0.5246335697399527
2,0.5477689622342113,0.3352526397845652,0.34469199808991063,0.20878052576794742,0.6561654275407726,0.7865461793304065,0.35316096397541574,0.3530280482847599,0.5814683097278006,0.5762033847722553,0.4850635392445556,0.8373411389825485,0.6309572783370042,0.5403484651534847,0.9410422678662367,0.510506559213007,0.4752129830244642,0.6332931897957086,0.45272027953695143,0.5361205589737711,0.287088031321608,0.9362571827923591
