subject,mse,mae,r2
AGRICULTURAL SCIENCES,263.11890252322166,12.391800629610271,0.9981527709458885
BIOLOGY & BIOCHEMISTRY,328.0076687364113,12.685458610479248,0.9985148851164501
CHEMISTRY,1172.8534041267808,30.38080018313963,0.9969906142569966
CLINICAL MEDICINE,4352.340186813669,44.79800428138674,0.9988665078748786
COMPUTER SCIENCE,350.9027186400926,15.888054768244425,0.9942507548174769
ECONOMICS & BUSINESS,811.111178329376,16.72861536460764,0.9704716779335376
ENGINEERING,1853.096740691528,33.89121794734829,0.9970380634562591
ENVIRONMENT ECOLOGY,2476.8936991692985,37.58789177800977,0.9929544132500271
GEOSCIENCES,366.6619169248692,12.594001857601867,0.9965993775896529
IMMUNOLOGY,776.0769108988471,21.487702553959217,0.9929349544325816
MATHEMATICS,1619.5055663268367,24.778417637853913,0.8927726243622246
MICROBIOLOGY,325.2972690310909,13.490115056583537,0.9935333662019469
MOLECULAR BIOLOGY & GENETICS,465.84168686353274,13.536132052489922,0.9956965161845629
MULTIDISCIPLINARY,91.26446204550032,6.808637053878219,0.9733639310258625
NEUROSCIENCE & BEHAVIOR,203.20301491983165,11.614139037499061,0.9984982157519475
PHARMACOLOGY & TOXICOLOGY,1903.0681402965886,35.52312226542111,0.987992965891487
PHYSICS,415.9543670594668,14.839318275930413,0.994859243821858
PLANT & ANIMAL SCIENCE,914.3175169389127,24.465796478459094,0.9971211429782642
PSYCHIATRY PSYCHOLOGY,375.3815401720335,13.95849199577491,0.9966050514078308
"SOCIAL SCIENCES, GENERAL",1033.7900476624939,24.904819691299995,0.997744631294297
SPACE SCIENCE,30.979327840106972,4.42379744578216,0.9937065679754243
