subject,MSE,RMSE,MAE,MAPE,R2
AGRICULTURAL SCIENCES,625549.1875,790.9166754469146,700.373779296875,112.43097,-2.8999507427215576
BIOLOGY & BIOCHEMISTRY,918019.125,958.133145757937,849.7615356445312,115.89478,-2.9230406284332275
CHEMISTRY,1457080.5,1207.0958951135572,1076.689208984375,115.56598,-2.8884224891662598
CLINICAL MEDICINE,11334408.0,3366.6612541210616,3043.90185546875,181.63625,-2.118833303451538
COMPUTER SCIENCE,226162.078125,475.5650093572907,416.3606872558594,114.57992,-2.645597219467163
